,SMILES,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,C1(/C=C2CC\2)=CC=CC=C1,2.2777777777777777,2.2777777777777777,1.3143792517006803,1.3143792517006803,0.5479980303395159,130.18999999999997,120.10999999999997,130.07825032,50,0,-0.025711601958170148,-0.0689860294048911,0.0689860294048911,0.025711601958170148,1.0,1.7,2.3,14.144284306166455,10.187883480291124,2.088907835743514,-1.871641483312251,2.2920392209694507,-1.6564467718953813,5.554179891812708,1.5030000000000001,2.7423653687301277,2.2610227347889142,238.00063728104428,6.811554787871633,5.878315177510851,5.878315177510851,4.949489742783179,3.6951406528991333,3.6951406528991333,2.7132694602842298,2.7132694602842298,1.7090384379052597,1.7090384379052597,1.0014725750054105,1.0014725750054105,-1.04,570.4119966958666,5.7228909211141765,2.295733882030179,1.2686181558443694,61.19573739136991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9809599792112,18.405094737549014,0.0,0.0,0.0,6.076020106833881,0.0,0.0,0.0,12.841643245852019,0.0,41.468391364074314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.405094737549014,35.90493987237732,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.405094737549014,5.573104530069267,0.0,36.407855449141934,0.0,0.0,0.0,0.0,0.0,2.931666666666667,0.0,10.495130385487528,4.906536281179139,0.0,0.0,0.2,10,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,2,2.8638000000000012,43.65300000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BrC(C=C1)=CC=C1/C=C2CC\2,3.4065880102040818,3.4065880102040818,1.148561980347695,1.148561980347695,0.6619872594249245,209.08599999999996,200.01399999999995,207.988762388,56,0,0.017517862470782863,-0.06898601942369355,0.06898601942369355,0.017517862470782863,1.0909090909090908,1.7272727272727273,2.272727272727273,79.91873098015007,10.187023505746597,2.0912425880710916,-1.9118168831066058,2.2963870877264254,-1.687026290066303,9.102991318954768,1.5030000000000003,2.7779616756719716,2.25228638159231,276.2460163157485,7.681798275874712,6.178929381330452,7.764925920445156,5.34333659290053,3.794806491926706,4.587804761484058,2.8541370813305957,3.7698126101222846,1.7794710400194464,2.3081365530576816,1.0112139807473588,1.2755467372664762,-0.56,822.2766559989036,7.108736857548046,2.820735053290021,1.9333667217219879,75.06328499701127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.711802671775715,30.537828874472236,4.472719515832414,0.0,0.0,22.00596400478323,0.0,0.0,0.0,12.841643245852019,0.0,39.874743811445114,0.0,0.0,0.0,0.0,0.0,15.929943897949348,0.0,0.0,0.0,18.405094737549014,34.31129231974812,0.0,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.472719515832414,18.405094737549014,5.573104530069267,0.0,46.27143227862967,0.0,1.148561980347695,3.4065880102040818,0.0,0.0,2.8963170823885114,0.0,8.424953703703704,4.873579223356009,0.0,0.0,0.2,11,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2,3.6263000000000014,51.353000000000016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ClC(C=C1)=CC=C1/C=C2CC\2,5.743150510204081,5.743150510204081,0.8082842025699174,0.8082842025699174,0.5960258733328112,164.63499999999993,155.56299999999996,164.039277968,56,0,0.04059106083983435,-0.08434374486008232,0.08434374486008232,0.04059106083983435,1.0909090909090908,1.7272727272727273,2.272727272727273,35.49569086343275,10.185462292714728,2.0914068338803045,-1.9091334845953871,2.29611369648374,-1.684676228235474,6.301123960092101,1.5030000000000012,2.7779616756719716,2.25228638159231,276.2460163157485,7.681798275874712,6.178929381330452,6.934858327348907,5.34333659290053,3.794806491926706,4.172770964935934,2.8541370813305957,3.2905728618025805,1.7794710400194464,2.031447355358931,1.0112139807473588,1.1372021384171012,-0.7500000000000001,822.2766559989036,6.929506172839506,2.707135178715399,1.8412426035502958,71.49900361825158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.38279866405888,30.537828874472236,5.022633313741326,0.0,0.0,17.676959997066398,0.0,0.0,0.0,12.841643245852019,0.0,40.42465760935403,0.0,0.0,0.0,0.0,0.0,11.600939890232516,0.0,0.0,0.0,18.405094737549014,29.83857280391571,5.022633313741326,6.076020106833881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.022633313741326,18.405094737549014,5.573104530069267,24.26546827384644,6.076020106833881,11.600939890232516,0.0,5.743150510204081,0.0,0.8082842025699174,2.814094860166289,0.0,7.952345679012344,4.793235859158479,0.0,0.0,0.2,11,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2,3.5172000000000008,48.663000000000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FC(C=C1)=CC=C1/C=C2CC\2,12.419043367346939,12.419043367346939,0.16393801965230526,-0.16393801965230526,0.5739122313805703,148.17999999999995,139.10799999999998,148.068828508,56,0,0.12275002109491832,-0.20701177004848315,0.20701177004848315,0.12275002109491832,1.0909090909090908,1.7272727272727273,2.272727272727273,19.142138832895647,10.180509109747945,2.0920832976832116,-1.9003281596749821,2.293536790309436,-1.7276002927527774,5.55536419890833,0.6275118076096359,2.7779616756719716,2.25228638159231,276.2460163157485,7.681798275874712,6.178929381330452,6.178929381330452,5.34333659290053,3.794806491926706,3.794806491926706,2.8541370813305957,2.8541370813305957,1.7794710400194464,1.7794710400194464,1.0112139807473588,1.0112139807473588,-1.11,822.2766559989036,6.590889856912898,2.496125240796511,1.6714462313870415,65.36127279429614,0.0,5.817220841045895,0.0,0.0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,23.78185877382637,30.537828874472236,0.0,0.0,4.39041504767482,6.076020106833881,0.0,0.0,0.0,12.841643245852019,0.0,41.21924513665859,0.0,0.0,0.0,4.39041504767482,0.0,0.0,0.0,0.0,5.817220841045895,18.405094737549014,29.83857280391571,0.0,6.076020106833881,0.0,0.0,0.0,4.39041504767482,0.0,5.817220841045895,0.0,5.563451491696996,30.547481912844507,12.13273413692322,0.0,6.076020106833881,0.0,12.419043367346939,0.0,0.0,0.0,2.579174225245654,-0.16393801965230526,6.602037037037036,4.563683390022676,0.0,0.0,0.2,11,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,2,3.002900000000002,43.61100000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,O=[N+](C(C=C1)=CC=C1/C=C2CC\2)[O-],10.336917359536407,10.336917359536407,0.15087679516251007,-0.3809056122448977,0.5119795928265237,175.18699999999993,166.11499999999995,175.063328528,66,0,0.268964854031427,-0.258309633696997,0.268964854031427,0.258309633696997,1.2307692307692308,1.8461538461538463,2.3076923076923075,16.628206649606437,10.166855609553076,2.1025586286254305,-1.9185647170571352,2.297680908585002,-1.859265671344414,5.571813979488844,-0.38444062568064635,2.8917459814878064,2.223173381273408,359.0160650555833,9.259148545064338,7.0646750847489095,7.0646750847489095,6.2540201954234895,4.194579424842182,4.194579424842182,3.151227865926813,3.151227865926813,2.013372591527582,2.013372591527582,1.1444716250525175,1.1444716250525175,-1.64,2058.923138819318,7.9810659712403496,3.0117020960309198,1.9317975206611566,75.8487131138697,0.0,0.0,0.0,0.0,5.687386274683562,0.0,10.114318268765572,0.0,0.0,0.0,11.64912463690315,30.537828874472236,12.13273413692322,4.923311048817671,4.923311048817671,11.763406381517443,0.0,0.0,0.0,12.841643245852019,0.0,45.51634256437827,0.0,0.0,0.0,5.687386274683562,0.0,0.0,4.923311048817671,0.0,10.114318268765572,18.405094737549014,29.83857280391571,0.0,6.076020106833881,0.0,43.14,0.0,10.114318268765572,0.0,10.610697323501233,0.0,5.563451491696996,30.547481912844507,12.13273413692322,0.0,6.076020106833881,0.0,0.0,0.0,9.956011747291509,10.336917359536407,2.6295370370370383,0.0,6.635370370370371,4.442163485764676,0.0,0.0,0.2,13,0,3,1,0,1,1,0,1,2,0,3,2,1,0,1,2,2.772000000000001,50.307400000000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,COC(C=C1)=CC=C1/C=C2CC\2,5.069081632653061,5.069081632653061,0.9240249433106579,0.9240249433106579,0.6460046167281166,160.21599999999995,148.11999999999998,160.088815004,62,0,0.11840059218850277,-0.49676782420682314,0.49676782420682314,0.11840059218850277,1.1666666666666667,1.8333333333333333,2.3333333333333335,16.46525082052077,10.174741999792722,2.092673407383376,-1.9783203460451373,2.2975931003864836,-1.8056868019122125,5.565291042556181,0.4145356232583377,2.899393437001091,2.1815243879594135,289.28508065392583,8.38890505706126,7.209213198785088,7.209213198785088,5.881341395361315,4.218196691117887,4.218196691117887,3.075745596722051,3.075745596722051,2.025267906233174,2.025267906233174,1.152344047144419,1.152344047144419,-1.2400000000000002,1461.29429224855,7.411348974964136,3.015404674173516,1.6724056488921357,72.6742247352734,4.736862953800049,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.78185877382637,30.537828874472236,0.0,7.109797541277533,4.736862953800049,6.076020106833881,0.0,0.0,0.0,12.841643245852019,7.109797541277533,35.402024295612705,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,7.109797541277533,0.0,0.0,18.405094737549014,29.83857280391571,0.0,6.076020106833881,0.0,9.23,0.0,0.0,0.0,0.0,0.0,5.749511833283905,18.405094737549014,12.6829020713468,12.13273413692322,18.208754243757102,4.736862953800049,5.069081632653061,0.0,0.0,0.0,2.8365433673469393,0.9240249433106579,8.164537037037038,4.81696271101033,0.0,1.6888503086419753,0.2727272727272727,12,0,1,1,0,1,1,0,1,1,0,1,2,1,0,1,2,2.8724000000000016,50.20500000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
